name,stars,url,query_found_in
andrew-lowell/HMT,207,https://github.com/andrew-lowell/HMT,3
marudor/flowInterfaces,204,https://github.com/marudor/flowInterfaces,3
jasonwebb/2d-space-colonization-experiments,197,https://github.com/jasonwebb/2d-space-colonization-experiments,3
CycloneDX/cyclonedx-dotnet,195,https://github.com/CycloneDX/cyclonedx-dotnet,4
casics/nostril,192,https://github.com/casics/nostril,3
CycloneDX/bom-examples,189,https://github.com/CycloneDX/bom-examples,"3,4"
ossf/wg-vulnerability-disclosures,183,https://github.com/ossf/wg-vulnerability-disclosures,3
tari/llvm-sys.rs,180,https://github.com/tari/llvm-sys.rs,3
aliesbelik/load-testing-toolkit,178,https://github.com/aliesbelik/load-testing-toolkit,3
spulec/PyQS,174,https://github.com/spulec/PyQS,3
aengelke/fadec,172,https://github.com/aengelke/fadec,3
teared/VEX,169,https://github.com/teared/VEX,"3,4"
mcmonkeyprojects/Sentinel,167,https://github.com/mcmonkeyprojects/Sentinel,3
dan-rodrigues/icestation-32,157,https://github.com/dan-rodrigues/icestation-32,3
nepaul/awesome-web-development,155,https://github.com/nepaul/awesome-web-development,3
paulwinex/pw_Houdini_VEX_Editor,151,https://github.com/paulwinex/pw_Houdini_VEX_Editor,3
jtomori/vft,147,https://github.com/jtomori/vft,"3,4"
gmkzwwg/pRoJEct-VeXEd,146,https://github.com/gmkzwwg/pRoJEct-VeXEd,3
iliterobotics/3D,145,https://github.com/iliterobotics/3D,3
CortexPE/TeaSpoon,144,https://github.com/CortexPE/TeaSpoon,3
LemLib/LemLib,142,https://github.com/LemLib/LemLib,4
trevorsandy/lpub3d,141,https://github.com/trevorsandy/lpub3d,4
vamsiikrishna/vex,140,https://github.com/vamsiikrishna/vex,3
CycloneDX/cyclonedx-gomod,139,https://github.com/CycloneDX/cyclonedx-gomod,4
openvex/spec,138,https://github.com/openvex/spec,3
gethugothemes/hargo-hugo,138,https://github.com/gethugothemes/hargo-hugo,3
chughes757/SecureSoftwareSupplyChain,137,https://github.com/chughes757/SecureSoftwareSupplyChain,3
mitre/saf,137,https://github.com/mitre/saf,3
Fare9/KUNAI-static-analyzer,136,https://github.com/Fare9/KUNAI-static-analyzer,3
ribponce/particula,134,https://github.com/ribponce/particula,3
DISTRHO/Ildaeil,131,https://github.com/DISTRHO/Ildaeil,3
alphaSeclab/DBI-Stuff,131,https://github.com/alphaSeclab/DBI-Stuff,3
CorvaeOboro/zenv,131,https://github.com/CorvaeOboro/zenv,4
vishalgarg-sec/Software-Supply-Chain-Security,130,https://github.com/vishalgarg-sec/Software-Supply-Chain-Security,"3,4"
RevanthRameshkumar/CRD3,129,https://github.com/RevanthRameshkumar/CRD3,3
DavidWells/awesome-stoicism,126,https://github.com/DavidWells/awesome-stoicism,3
RUB-SysSec/Marx,125,https://github.com/RUB-SysSec/Marx,3
lifting-bits/codereason,125,https://github.com/lifting-bits/codereason,3
openvex/vexctl,124,https://github.com/openvex/vexctl,"3,4"
MaxChen/awesome-swift-and-tutorial-resources,124,https://github.com/MaxChen/awesome-swift-and-tutorial-resources,3
umegaya/lua-aws,122,https://github.com/umegaya/lua-aws,3
gongyi420/MUSIC-LOVER,121,https://github.com/gongyi420/MUSIC-LOVER,3
animetosho/md5-optimisation,120,https://github.com/animetosho/md5-optimisation,3
thi-ng/houdini,116,https://github.com/thi-ng/houdini,3
richgel999/CppSPMD_Fast,115,https://github.com/richgel999/CppSPMD_Fast,3
gribouille/awesome-python,115,https://github.com/gribouille/awesome-python,3
OSSPhilippines/awesome-pinoy-made,112,https://github.com/OSSPhilippines/awesome-pinoy-made,3
andrewda/awesome-frc,111,https://github.com/andrewda/awesome-frc,3
CycloneDX/cyclonedx-rust-cargo,110,https://github.com/CycloneDX/cyclonedx-rust-cargo,4
purduesigbots/pros-cli,108,https://github.com/purduesigbots/pros-cli,3
probiner/DASH,108,https://github.com/probiner/DASH,4
nitzan-treg/ntLib,107,https://github.com/nitzan-treg/ntLib,3
McFlyWYF/CampusTourGuideSystem,107,https://github.com/McFlyWYF/CampusTourGuideSystem,3
angr/vex,105,https://github.com/angr/vex,3
OkapiLib/OkapiLib,101,https://github.com/OkapiLib/OkapiLib,3
carbonetes/jacked,101,https://github.com/carbonetes/jacked,3
